[2024-02-07T07:00:22Z DEBUG ytest2] BASE /// GeometryDash.exe 0x470000
[2024-02-07T07:00:22Z DEBUG ytest2] BASE /// libcocos2d.dll 0x66c60000
[2024-02-07T07:00:22Z DEBUG ytest2] BASE /// libExtensions.dll 0x73840000
[2024-02-07T07:00:22Z DEBUG ytest2] BASE /// msvcr120.dll 0x67160000
[2024-02-07T07:00:22Z DEBUG ytest2] BASE /// zlib1.dll 0x5a4c0000
[2024-02-07T07:00:22Z DEBUG ytest2] BASE /// mimalloc.dll 0x734d0000
[2024-02-07T07:00:22Z DEBUG ytest2] BASE /// ybot.dll 0x6b710000
[2024-02-07T07:00:22Z DEBUG ytest2] yBot 2.1.30-stable
[2024-02-07T07:00:22Z INFO  ytest2::updater] checking for updates
[2024-02-07T07:00:22Z DEBUG reqwest::connect] starting new connection: https://ybot.store/
[2024-02-07T07:00:27Z INFO  ytest2::updater] updating
[2024-02-07T07:00:27Z INFO  ytest2::updater] yBot is up-to-date
[2024-02-07T07:00:30Z DEBUG egui_glow::painter] 
    opengl version: 4.6.0 - Build 30.0.101.1340
    opengl renderer: Intel(R) UHD Graphics 600
    opengl vendor: Intel
[2024-02-07T07:00:30Z DEBUG egui_glow::shader_version] Shader version: Gl140 ("4.60 - Build 30.0.101.1340").
[2024-02-07T07:00:30Z DEBUG egui_glow::painter] Shader header: "#version 140\n".
[2024-02-07T07:00:30Z DEBUG egui_glow::painter] SRGB texture Support: true
[2024-02-07T07:00:30Z DEBUG egui_glow::vao] GL version: "4.6.0 - Build 30.0.101.1340".
now recording "toe2"
[2024-02-07T18:32:46Z DEBUG ytest2::hooks] entered level
[2024-02-07T18:32:47Z DEBUG ytest2::hooks::reset_level_orig] initializing level
[2024-02-07T18:32:51Z DEBUG ytest2::checkpoint] applying checkpoint 0xb746000
[2024-02-07T18:33:03Z DEBUG ytest2::checkpoint] applying checkpoint 0xbb8c800
[2024-02-07T18:33:04Z DEBUG ytest2::checkpoint] applying checkpoint 0xbb8c800
[2024-02-07T18:33:08Z DEBUG ytest2::checkpoint] applying checkpoint 0xbb89800
[2024-02-07T18:33:11Z DEBUG ytest2::checkpoint] applying checkpoint 0xbbd8c00
[2024-02-07T18:33:13Z DEBUG ytest2::checkpoint] applying checkpoint 0xbbd8000
[2024-02-07T18:33:15Z DEBUG ytest2::checkpoint] applying checkpoint 0xbbd8000
[2024-02-07T18:33:16Z DEBUG ytest2::checkpoint] applying checkpoint 0xbbd8000
[2024-02-07T18:33:17Z DEBUG ytest2::checkpoint] applying checkpoint 0xbbd8000
[2024-02-07T18:33:19Z DEBUG ytest2::hooks] destructing checkpoint 0xbbd8000
[2024-02-07T18:33:19Z DEBUG ytest2::checkpoint] applying checkpoint 0xbbd8c00
[2024-02-07T18:33:21Z DEBUG ytest2::checkpoint] applying checkpoint 0xbbd8c00
[2024-02-07T18:33:23Z DEBUG ytest2::checkpoint] applying checkpoint 0xbbd8c00
[2024-02-07T18:33:29Z DEBUG ytest2::checkpoint] applying checkpoint 0xbbdbc00
[2024-02-07T18:33:30Z DEBUG ytest2::checkpoint] applying checkpoint 0xbbdbc00
[2024-02-07T18:33:31Z DEBUG ytest2::checkpoint] applying checkpoint 0xbbdbc00
[2024-02-07T18:33:34Z DEBUG ytest2::checkpoint] applying checkpoint 0xb960000
[2024-02-07T18:33:37Z DEBUG ytest2::checkpoint] applying checkpoint 0xb960c00
[2024-02-07T18:33:51Z DEBUG ytest2::checkpoint] applying checkpoint 0xb962400
[2024-02-07T18:33:58Z DEBUG ytest2::checkpoint] applying checkpoint 0xb962400
[2024-02-07T18:35:15Z DEBUG ytest2::checkpoint] applying checkpoint 0xb962400
[2024-02-07T18:35:16Z DEBUG ytest2::checkpoint] applying checkpoint 0xb962400
[2024-02-07T18:35:19Z DEBUG ytest2::checkpoint] applying checkpoint 0xb962400
[2024-02-07T18:35:20Z DEBUG ytest2::checkpoint] applying checkpoint 0xb962400
[2024-02-07T18:35:22Z DEBUG ytest2::hooks] destructing checkpoint 0xb961800
[2024-02-07T18:35:22Z DEBUG ytest2::checkpoint] applying checkpoint 0xb962400
[2024-02-07T18:35:23Z DEBUG ytest2::checkpoint] applying checkpoint 0xb962400
[2024-02-07T18:35:25Z DEBUG ytest2::checkpoint] applying checkpoint 0xb962400
[2024-02-07T18:35:28Z DEBUG ytest2::checkpoint] applying checkpoint 0xb961800
[2024-02-07T18:35:29Z DEBUG ytest2::checkpoint] applying checkpoint 0xb961800
[2024-02-07T18:35:31Z DEBUG ytest2::checkpoint] applying checkpoint 0xb961800
[2024-02-07T18:35:34Z DEBUG ytest2::checkpoint] applying checkpoint 0xb963000
[2024-02-07T18:35:35Z DEBUG ytest2::checkpoint] applying checkpoint 0xb963000
[2024-02-07T18:35:38Z DEBUG ytest2::checkpoint] applying checkpoint 0xb963000
[2024-02-07T18:35:40Z DEBUG ytest2::checkpoint] applying checkpoint 0xb963000
[2024-02-07T18:35:42Z DEBUG ytest2::checkpoint] applying checkpoint 0xb963c00
