[2024-02-03T14:48:21Z DEBUG ytest2] BASE /// GeometryDash.exe 0x470000
[2024-02-03T14:48:21Z DEBUG ytest2] BASE /// libcocos2d.dll 0x66c60000
[2024-02-03T14:48:21Z DEBUG ytest2] BASE /// libExtensions.dll 0x73840000
[2024-02-03T14:48:21Z DEBUG ytest2] BASE /// msvcr120.dll 0x67160000
[2024-02-03T14:48:21Z DEBUG ytest2] BASE /// zlib1.dll 0x5a4c0000
[2024-02-03T14:48:21Z DEBUG ytest2] BASE /// mimalloc.dll 0x734d0000
[2024-02-03T14:48:21Z DEBUG ytest2] BASE /// ybot.dll 0x6b710000
[2024-02-03T14:48:21Z DEBUG ytest2] yBot 2.1.30-stable
[2024-02-03T14:48:21Z INFO  ytest2::updater] checking for updates
[2024-02-03T14:48:21Z DEBUG reqwest::connect] starting new connection: https://ybot.store/
[2024-02-03T14:48:22Z INFO  ytest2::updater] updating
[2024-02-03T14:48:22Z INFO  ytest2::updater] yBot is up-to-date
[2024-02-03T14:48:24Z DEBUG egui_glow::painter] 
    opengl version: 4.6.0 - Build 30.0.101.1340
    opengl renderer: Intel(R) UHD Graphics 600
    opengl vendor: Intel
[2024-02-03T14:48:24Z DEBUG egui_glow::shader_version] Shader version: Gl140 ("4.60 - Build 30.0.101.1340").
[2024-02-03T14:48:24Z DEBUG egui_glow::painter] Shader header: "#version 140\n".
[2024-02-03T14:48:24Z DEBUG egui_glow::painter] SRGB texture Support: true
[2024-02-03T14:48:25Z DEBUG egui_glow::vao] GL version: "4.6.0 - Build 30.0.101.1340".
now recording "__future__"
[2024-02-03T14:49:03Z DEBUG ytest2::hooks] entered level
[2024-02-03T14:49:08Z DEBUG ytest2::hooks::reset_level_orig] initializing level
[2024-02-03T14:49:17Z DEBUG ytest2::checkpoint] applying checkpoint 0x9741800
[2024-02-03T14:49:21Z DEBUG ytest2::checkpoint] applying checkpoint 0x9746c00
[2024-02-03T14:49:32Z DEBUG ytest2::checkpoint] applying checkpoint 0x9745400
[2024-02-03T14:49:34Z DEBUG ytest2::checkpoint] applying checkpoint 0x4d38c00
[2024-02-03T14:49:35Z DEBUG ytest2::hooks] destructing checkpoint 0x4d3bc00
[2024-02-03T14:49:36Z DEBUG ytest2::hooks] destructing checkpoint 0x4d38c00
[2024-02-03T14:49:36Z DEBUG ytest2::hooks] destructing checkpoint 0x9745400
[2024-02-03T14:49:37Z DEBUG ytest2::checkpoint] applying checkpoint 0x9740c00
[2024-02-03T14:49:38Z DEBUG ytest2::checkpoint] applying checkpoint 0x9740c00
[2024-02-03T14:49:41Z DEBUG ytest2::checkpoint] applying checkpoint 0x4d38c00
[2024-02-03T14:49:43Z DEBUG ytest2::checkpoint] applying checkpoint 0x4d38c00
[2024-02-03T14:49:45Z DEBUG ytest2::checkpoint] applying checkpoint 0x4d38c00
[2024-02-03T14:49:46Z DEBUG ytest2::checkpoint] applying checkpoint 0x4d38c00
[2024-02-03T14:49:48Z DEBUG ytest2::checkpoint] applying checkpoint 0x4d38c00
[2024-02-03T14:49:50Z DEBUG ytest2::checkpoint] applying checkpoint 0x4d38c00
[2024-02-03T14:49:52Z DEBUG ytest2::checkpoint] applying checkpoint 0x4d38c00
[2024-02-03T14:49:54Z DEBUG ytest2::checkpoint] applying checkpoint 0x4d38c00
[2024-02-03T14:50:01Z DEBUG ytest2::checkpoint] applying checkpoint 0x4d38c00
[2024-02-03T14:50:07Z DEBUG ytest2::checkpoint] applying checkpoint 0x9822400
[2024-02-03T14:50:07Z DEBUG ytest2::hooks] destructing checkpoint 0x9822400
[2024-02-03T14:50:09Z DEBUG ytest2::checkpoint] applying checkpoint 0x4d3e000
[2024-02-03T14:50:10Z DEBUG ytest2::checkpoint] applying checkpoint 0x4d3e000
[2024-02-03T14:50:13Z DEBUG ytest2::checkpoint] applying checkpoint 0x9822400
[2024-02-03T14:50:14Z DEBUG ytest2::hooks] destructing checkpoint 0x9822400
[2024-02-03T14:50:14Z DEBUG ytest2::checkpoint] applying checkpoint 0x9823000
[2024-02-03T14:50:17Z DEBUG ytest2::checkpoint] applying checkpoint 0x9821800
[2024-02-03T14:50:19Z DEBUG ytest2::checkpoint] applying checkpoint 0xc046c00
[2024-02-03T14:50:21Z DEBUG ytest2::checkpoint] applying checkpoint 0xc046c00
[2024-02-03T14:50:23Z DEBUG ytest2::checkpoint] applying checkpoint 0xc046c00
[2024-02-03T14:50:24Z DEBUG ytest2::checkpoint] applying checkpoint 0xc046c00
[2024-02-03T14:50:25Z DEBUG ytest2::checkpoint] applying checkpoint 0xc046c00
[2024-02-03T14:50:27Z DEBUG ytest2::hooks] destructing checkpoint 0xc023c00
[2024-02-03T14:50:28Z DEBUG ytest2::checkpoint] applying checkpoint 0xc046c00
[2024-02-03T14:50:29Z DEBUG ytest2::checkpoint] applying checkpoint 0xc046c00
[2024-02-03T14:50:30Z DEBUG ytest2::checkpoint] applying checkpoint 0xc046c00
[2024-02-03T14:50:33Z DEBUG ytest2::checkpoint] applying checkpoint 0xc023c00
[2024-02-03T14:50:34Z DEBUG ytest2::checkpoint] applying checkpoint 0xc023c00
[2024-02-03T14:50:35Z DEBUG ytest2::checkpoint] applying checkpoint 0xc023c00
[2024-02-03T14:50:37Z DEBUG ytest2::checkpoint] applying checkpoint 0xc023c00
[2024-02-03T14:50:39Z DEBUG ytest2::checkpoint] applying checkpoint 0xbed0000
[2024-02-03T14:50:42Z DEBUG ytest2::checkpoint] applying checkpoint 0xbed0000
[2024-02-03T14:50:43Z DEBUG ytest2::checkpoint] applying checkpoint 0xbed0000
[2024-02-03T14:50:47Z DEBUG ytest2::checkpoint] applying checkpoint 0xbed0c00
[2024-02-03T14:50:53Z DEBUG ytest2::checkpoint] applying checkpoint 0xbed4800
[2024-02-03T14:50:55Z DEBUG ytest2::checkpoint] applying checkpoint 0xbed4800
[2024-02-03T14:50:58Z DEBUG ytest2::checkpoint] applying checkpoint 0xbed5400
[2024-02-03T14:50:59Z DEBUG ytest2::checkpoint] applying checkpoint 0xbed5400
[2024-02-03T14:51:04Z DEBUG ytest2::checkpoint] applying checkpoint 0xbed6c00
[2024-02-03T14:51:06Z DEBUG ytest2::checkpoint] applying checkpoint 0xbed6c00
